"japanese_translation","phrase","category","part_of_speech","explanation"
"彼の目は誤魔化せない。","You can't get anything past him.","性格 / 被害・トラブル","普段のこと・習慣","「彼を騙せない」「彼には何も隠し通せない」「彼は鋭くて見逃さない」は英語で：
・You can't get anything past him.
（何も彼を通り抜けさせられない）
という決まり文句を使います。
サッカーのキーパーがゴールをブロックするように、「嘘や誤魔化しを絶対に通さない」イメージです。
たとえば
You can't get anything past my mom. She always knows when I'm lying.
（母の目は誤魔化せないよ、嘘がすぐバレる）
The teacher is strict. You can't get any cheating past her.
（あの先生は厳しいから、カンニングなんて絶対通じない）
He's too smart. You can't get excuses past him.
（彼は賢すぎて、言い訳なんて通用しないよ）
I tried to sneak in late, but you can't get anything past the boss.
（遅れてこっそり入ろうとしたけど、上司の目は誤魔化せなかった）"
"どういう知り合いなの？","How do you know him?","遊び","普段のこと・習慣","❶　「彼とはどういう知り合いなの？」は英語で：
・How do you know him?
と簡単に言います。
よく使う質問ですけど、言える人は少ないです。
他にも：
Where did you meet?
（どこで出会ったの？）
How did you meet?
（どうやって知り合ったの？）
も大丈夫です。
❷　答えとしては：
We met through a friend.
（友達を通して知り合った）
He's a friend of a friend.
（友達の友達）
We work together.
（一緒に働いてる）
We learn English together.
（同じ英会話教室）
We went to high school together.
（同じ高校だった）
など色々あります。"
"明日は人を家に招くよ。","I’m having some people over tomorrow.","家の中 / 遊び","未来のこと","❶　「家に人を招く」「友達を家に呼ぶ」は英語で：
・have 人 over
という表現を使います。
たとえば
I’m having some friends over for dinner tomorrow.
（明日、友達を家に呼んで夕飯を食べる）
We’re having the neighbors over this weekend.
（今週末、近所の人たちを家に招くよ）
She’s having her family over for the holidays.
（彼女は休暇中に家族を家に呼んでいる）
❷　この「over」で「家に」になります。
「over here」は「こっち」「over there」は「あっち」という意味ですけど、
「over」だけだと、大体「家に」という意味になります。
他にも
My friend is coming over tomorrow.
（明日、友達がうちに来る）
Do you want to come over?
（うち来る？）
Why don't you stay over?
（うちに泊まっていけば？）"
"彼は白状した。","He came clean.","被害・トラブル / 諺・おもしろ表現","過去のこと","❶　「白状する」「隠していたことを打ち明ける」は英語で：
・come clean
という句動詞を使います。
「汚れ（秘密や嘘）をきれいさっぱり洗い流す」イメージです。
たとえば
He finally came clean about cheating on the exam.
（彼はついに試験でカンニングしたことを白状した）
She came clean and told me the whole truth.
（彼女は全部正直に話してくれた）
I came clean to my boss about the mistake.
（上司にミスのことを白状したよ）
The suspect came clean after hours of questioning.
（容疑者は何時間もの尋問の末に白状した）
❷　同じ「come」を使った面白い句動詞は他にも：
He came to.
（意識が戻った）
I came up in IT.
（IT業界で経験を積んで育った）
Something came up.
（急用ができた）
She came around.
（考え方を変えてくれた）
Let’s come up with a new plan.
（新しい計画を考えだそう）"
"もう2度としません。","It won't happen again.","仕事 / 被害・トラブル","未来のこと","❶　「もう二度としません」という強い謝罪の言葉は英語で：
・It won't happen again.
という決まり文句を使います。
直訳は「それは二度と起こりません」ですけど、
謝るときに一番自然で誠実さが伝わる表現です。
❷　逆に「こんなことは二度と繰り返さないようにね」と注意するときは：
・Don't let it happen again.
と言います。
❸　この「happen」を使った実用的な決まり文句は他にも：
I'm not going to let that happen.
（俺はそうはさせない）
It happens to the best of us.
（誰にでも起こることさ）
Let's make it happen!
（実現させよう）
Let's see what happens.
（様子を見よう）
Has that ever happened to you?
（君にも同じ経験ある？）
What happened happened.
（起きたことはしょうがない）"
"うちのパパはちょろいから。","My dad is such a pushover.","性格","普段のこと・習慣","「ちょろい人」「簡単に説得されてしまう人」は英語で：
・pushover
（プッシュオーバー）
という名詞を使います。
「押せば簡単に倒れる」という意味から来ていて、
「すぐ折れる人」を表すカジュアルな表現です。
たとえば
My dad is such a pushover. He always buys me whatever I want.
（うちのパパは本当にちょろいから、何でも買ってくれるよ）
She’s a total pushover when it comes to her kids.
（彼女は子供のことになるとめっちゃ甘いんだよね）
Don’t be such a pushover! Stand up for yourself!
（そんな簡単に折れないで！しっかりして！）
My boss is a pushover — I just smile and he approves everything.
（うちの上司はちょろいんだよ。笑顔で頼めば何でも通る）"
"面と向かって言ってやった。","I told him point blank.","諺・おもしろ表現","過去のこと","「はっきりと」「ストレートに」「面と向かって」言うときは英語で：
・point blank
という副詞を使います。
「point blank」は元々「至近距離で撃つ」という意味から来ていて、
「逃げ道なく真正面から」
「遠慮なくド直球で」
という強いニュアンスがあります。
たとえば
I told him point blank that I didn’t like his attitude.
（彼の態度が気に入らないと、面と向かってはっきり言ってやった）
She asked me point blank if I was cheating on her.
（彼女は私に「浮気してる？」ってストレートに聞いてきた）
He denied it point blank when I confronted him.
（私が問い詰めたら、彼ははっきりと否定した）
I said no point blank. There was no point beating around the bush.
（はっきりと「ノー」と言ってやった。遠回しにする意味なんてないから）"
"手に職をつけよう。","Learn a trade.","仕事","","「手に職をつける」「専門技術を身につける」は英語で：
・learn a trade
（トレード＝職業技術を学ぶ）
という表現を使います。
大学に行かずに実践的なスキルを身につけて働く道を選ぶときに、よく使われるフレーズです。
たとえば
Instead of going to college, I decided to learn a trade.
（大学に行く代わりに、手に職をつけることにした）
My dad always told me to learn a trade so I’d never be out of work.
（父はいつも「手に職をつけろ、そうすれば仕事に困らないぞ」と言っていた）
Plumbing is a good trade to learn — it pays well and there’s always demand.
（配管工はいい職業だよ。給料もいいし、需要が常にあります）
Many young people are choosing to learn a trade rather than get a four-year degree.
（最近、4年制大学に行くより手に職をつける道を選ぶ若者が多い）"
"彼は本当に多才だね。","He’s really versatile.","仕事 / 性格","形容詞","「多才な」「万能な」「いろいろなことに使える」は英語で：
・versatile
（ヴァーサタイル）
という形容詞を使います。
人・物・ツールなど、何でも「多くのことを上手にこなせる」というときにピッタリです。
たとえば
Leonardo Da Vinci was very versatile, excelling at art, science, and engineering.
（レオナルド・ダ・ヴィンチは本当に多才だった。アートも科学も工学も優れていた）
The new guy is so versatile. He can code, manage projects, and even do graphic design.
（その新人は本当に多才だ。プログラミングもプロジェクト管理もグラフィックデザインもできる）
Christian Bale is a versatile actor.
（クリスチャン・ベールは変幻自在な俳優だ）
Smartphones are extremely versatile.
（スマホは本当に万能だね）
This Swiss Army knife is versatile. It has tools for almost everything.
（このスイスアーミーナイフは万能だ。ほぼ何でもできるツールが入ってる）"
"このジャケットに愛着がある。","I'm very attached to this jacket.","ファッション・身だしなみ","形容詞","❶　「愛着がある」は英語で：
・attached
という形容詞を使います。
「to 〜」を続けて使います。
たとえば
I’m attached to this jacket.
（このジャケットに愛着がある）
I get attached to things easily.
（すぐ愛着が湧いちゃうんだよね）
❷　「執着する」も同じ「attached」です。
たとえば
Don’t get too attached.
（執着しないでね）
You’re too attached to the old way of doing things.
（古いやり方に執着しすぎ）"
"かかっても5分くらい。","It’ll take 5 minutes, if that.","","","「〜かかる」「〜かかりそう」と言った後に、
・if that.
を付けると
・かかってもそれくらい
・それ以上はかからないよ
・せいぜいそれくらい
というニュアンスを加えられます。
たとえば
It’s a 5-minute walk, if that.
（歩いて5分くらい、かかっても）
The whole thing will take 10 minutes, if that.
（全部で10分かからないくらいです）
It’s only a kilometer away, if that.
（遠くても、1キロくらいしか離れてない）
これで「大したことないよ」感をスマートに伝えられます！"
"眺めが綺麗な部屋がいい。","I want a room with a view.","旅行","奇跡の応用法","❶　　「眺め」は英語で：
・a view
という名詞です。
たとえば
It has a great view!
（眺めがいいね）
There's a great view.
（眺めがいいね）
What a view!
（なんていい眺めだろう！）
I want a room with a view.
（眺めが綺麗な部屋がいい）
❷　応用：「a view of 〜」。
たとえば
It has a great view of the beach.
（海が見える）
My apartment has a great view of the city lights.
（うちのマンションは夜景が綺麗）
There’s a great view of the fireworks.
（花火が見えるよ）
I want a room with a view of the beach.
（海が見える部屋がいい）"
"私たちは最近気まずい感じ。","Things have been awkward between us.","恋愛","完了形","❶　人間関係を漠然とした「things（物事）」で表すことが多いです。
たとえば
Things are good between us.
（関係がうまくいっている）
Things aren’t so good between us.
（関係がよろしくない）
How are things with your girlfriend?
（彼女とうまくいっている？）
❷　「気まずい」は英語で「awkward」と言います。
たとえば
Awkward!
（気まずっ！）
There was an awkward silence.
（気まずい沈黙があった、シーンとなった）
Things are awkward between us.
（私たちは今気まずい感じ）
❸　「最近ずっと」「最近よくする」は「have been」を使います。
続くのは「動詞ing」又は「形容詞」です。
たとえば
I’ve been eating out.
（最近、外食が多い）
I’ve been busy.
（最近、忙しい）
I haven’t been working out.
（最近、運動してない）"
"飲酒運転の検問を受けた。","I got breathalyzed.","交通 / 被害・トラブル","受け身","「飲酒検問を受ける」は英語で：
・get breathalyzed
（breathalyze の受動態）
という表現を使います。
・「breathalyze（ブレサライズ）」は「警察がアルコール検査をする」という意味の動詞で、
「breath（息）」から来ているので、まさに息を吹き込んで検査するイメージ。
・大体「される」立場なので、受け身の「get breathalyzed」が多い。
たとえば
I got breathalyzed on the way home last night.
（昨夜帰り道に飲酒検問を受けた）
The police breathalyzed him and he failed.
（警察が彼に検査をして、基準を超えていた）
The police are breathalyzing drivers tonight.
（今夜は警察が飲酒検問をやっている）
I almost got breathalyzed, but luckily I hadn’t drunk anything.
（検問されそうになったけど、飲んでなかったからセーフだった）
（もちろん飲酒運転は絶対ダメですよ！）"
"すごく儲かる。","It’s very lucrative.","仕事","形容詞","事業やビジネスが「お金になる」「儲かる」は英語で：
・lucrative
（ルークラティヴ）
という形容詞を使います。
注意：仕事・業界・取引・契約などに対して使います。
人に対して使わないので「He's lucrative.」などは間違いです。
たとえば
Freelance programming can be quite lucrative.
（フリーランスのプログラミングはかなり儲かる）
That deal sounds very lucrative.
（その取引はすごく儲かりそうだね）
Investing in tech stocks has been lucrative for me.
（テック株への投資は私にとって儲かっている）
Teaching English is not very lucrative, but very rewarding!
（英語を教えるのはあまり儲からないけど、やりがいがある！）
これで「お金になる話」をスマートに言えます！"
"お腹が鳴っている。","My stomach is growling.","レストラン・食べ物 / 諺・おもしろ表現","今のこと・一時的なこと","「お腹が鳴る」は英語で：
・growl
という動詞を使います。
「growl」は、犬やライオンが「ガルルル〜 と唸る」という意味なので、
「お腹が唸っている」という直訳です。
お腹が「食わせろ！」と怒っている感じで、ちょっとユーモラスな表現なんですね！
たとえば
My stomach is growling like crazy.
（お腹がめっちゃ鳴っている）
My stomach was growling during the meeting.
（会議中にお腹が鳴っていた）
Your stomach’s growling. Are you hungry?
（お腹鳴っているけど、お腹空いた？）
My dog growled at the stranger.
（愛犬が見知らぬ人に向かって唸った）"
"みんなその株のよさに気づいていない。","Everybody is sleeping on that stock.","諺・おもしろ表現","今のこと・一時的なこと","「いいものなのに気づかない」「過小評価する」は英語で：
・sleep on 〜
という句動詞です。
直訳は「寝ている」ですけど、
・良さに気づかずにいる
・ポテンシャルを見逃している
という意味の表現。
たとえば
Everybody is sleeping on that stock. It’s a good buying opportunity.
（みんなあの株のよさに気づいていない。これは買い時だよ）
I was sleeping on The Chili Peppers. I didn’t realize how awesome they are!
（レッチリのことずっと過小評価していた。めっちゃすごいじゃん！）
Everybody is sleeping on brown rice.
（みんな玄米のよさに気づいていないよね）
Don’t be sleeping on Elon Musk.
（イーロン・マスクを侮るなよ）
これで隠れた名作・名人をアピールできます！"
"中身・根拠がない。","There’s no there there.","キメの一言 / 諺・おもしろ表現","","❶　「中身がない」「根拠がない」は英語で：
・There’s no there there.
という超おもしろい表現を使います。
こんな短い表現だけど、there がなんと3連続！
たとえば
Everyone’s talking about that conspiracy theory, but there’s no there there.
（あの陰謀論はみんな騒いでいるけど、根拠がまるでない）
He keeps making big allegations, but honestly, there’s no there there.
（あの人はずっと大げさに告発しているけど、証拠がゼロなんだよね）
That new restaurant looks amazing on Instagram, but when you go… there’s no there there.
（あの店はインスタ映えしているけど、行ったら中身がなかった）
They announced a huge metaverse plan, but there’s just no there there.
（メタバースでっかい計画を発表していたけど、実体がまるでないね）
❷　なぜこんな表現になるか？？
・「There is 〜」は「〜がある」
There's a good bar.
（いいバーがある）
There's no station.
（駅がない）
・「そこに」「そこは」の「there」は文の最後：
It's crowded there.
（そこは混んでいる）
There is a good bar there.
（そこにいいバーがある）
・There's no there there.
を直訳すると
「そこに""そこ""がない」という直訳ですが、
1930年代に作家ガートルード・スタインが故郷オークランドを見て
「There’s no there there（そこにそこがない）」と言ったのが起源。
今では場所だけでなく、人・企画・主張にも幅広く使われていて、
「根拠がない」
「中身がない」
と言いたいときは、ぜひ使ってみましょう！"
"不況に強い仕事だね。","It’s a recession-proof job.","諺・おもしろ表現","形容詞","「不況に強い」「景気に左右されない」は英語で：
・recession-proof
という面白い形容詞です。
「〜 proof」を使う単語はいっぱいあります：
waterproof
（防水）
soundproof
（防音）
bulletproof
（防弾）
「recession-proof」を無理やり直訳すると「防不況」ですけど、
「不況に強い」という意味のちょっと面白い単語です。
たとえば
Healthcare is considered a recession-proof industry.
（医療業界って不況に強いよね）
They sell recession-proof products like basic groceries.
（食料品みたいな不況に強い商品を売っている）
I should’ve bought recession-proof gold.
（やっぱ金（ゴールド）は不況に強いから買っとけばよかった）
I’m looking for a recession-proof career.
（不況に強い仕事を探している）"
"もう燃え尽きた。","I got burned out.","仕事 / 健康・体調","受け身","「燃え尽きる」「燃え尽き症候群になる」は英語で：
・be burned out（状態）
・get burned out（変化）
という句動詞です。
燃え尽きたときは：
I'm burned out.
（燃え尽きている）
I got burned out.
（燃え尽きた）
のどちらでも大丈夫です。
他にも：
I pushed myself too hard and ended up getting burned out.
（無理しすぎて結局燃え尽きた）
I got burned out after finishing my internship.
（インターン終わった途端に燃え尽きた）
Most students get burned out and don’t study a lot at university.
（大学生ってだいたい燃え尽きて勉強しなくなるよね）
I’ve been working 12-hour days for months and now I’m completely burned out.
（何ヶ月も毎日12時間働いてて、今もう完全に燃え尽きている）"
"遠慮しないで。","Don’t hold back.","遊び","","❶　「遠慮する」「自制する」は英語で：
・hold back
（自制する・我慢する）
という超便利な動詞です。
たとえば
Don’t hold back.
（遠慮しないで！）
I feel like he’s holding back.
（なんか言いたいことを我慢している気がする）
I often hold back what I want to say.
（言いたいことを我慢すること多い）
❷　応用！「hold back from 〜」という使い方が多い。
たとえば
I’m holding back from telling him the truth.
（彼に本当のことを言いたいけど我慢してる）
I took the hint and held back from going to the party.
（空気を読んで、パーティーに行くのをやめた）"
"上司に詰められている。","My boss is breathing down my neck.","仕事 / 諺・おもしろ表現","今のこと・一時的なこと","❶　「プレッシャーをかける」「急かす・詰める」は英語で：
・breathe down someone’s neck
（首に息を吹きかける）
という表現です。
「すぐ後ろに立って首に息を吹きかけている」という直訳で、
・しつこくプレッシャーをかける
・監視している
・自由にさせない
というイメージです。
たとえば
Stop breathing down my neck! I know what I’m doing!
（プレッシャーかけんなよ！自分で分かってるから！）
My boss is breathing down my neck.
（上司にプレッシャーをかけられている）
❷　応用！「to 動詞」や「about 名詞」を続けて応用できます。
たとえば
My boss is breathing down my neck to get more contracts.
（上司が契約取れって詰め寄ってきてる）
Mom’s breathing down my sister’s neck to get married.
（母が姉に「早く結婚しろ」ってうるさいんだよね）
I used to breathe down my son’s neck about studying.
（昔は息子に勉強しろってガミガミ言ってた）"
"腫れ物に触るように接してるよ。","I’m walking on eggshells around her.","被害・トラブル / 諺・おもしろ表現","今のこと・一時的なこと","「腫れ物に触るように接する」「めっちゃ気を使う」は英語で：
・walk on eggshells
（卵の殻の上を歩く）
という表現です。
「ちょっとでも踏み外したらパリン！って割れちゃうから、超慎重になる」
というイメージの比喩ですね。
たとえば
My boss gets angry so easily, we all have to walk on eggshells around him.
（上司がすぐキレるから、みんなビクビクしてる）
After their big fight, he was walking on eggshells around her for days.
（大ゲンカの後、彼はしばらく彼女に怯えてた）
After my daughter broke up with her boyfriend, everybody had to walk on eggshells around her.
（娘が失恋した後、家族みんな腫れ物扱いだった）"
"あいつらしい手口だね。","That’s his typical MO.","被害・トラブル / 諺・おもしろ表現","","「手口」は英語で：
・MO
（エム・オー）
と言います。
「MO」は「Modus Operandi（ラテン語）の略で、
・犯行手段
・手口
・いつものやり方
を表します。
刑事ドラマでもいっぱい聞くし、日常会話でもよく使います。
たとえば
Lying to people to get what he wants is his typical MO.
（人を騙してでも自分の思い通りにするのは彼のいつも手口）
Making you feel guilty is her typical MO.
（罪悪感を植え付けるのが彼女のいつもの手口だよね）
That’s a typical MO of multi-level marketing.
（典型的なマルチ商法の手口だ）"
"あの店、下り坂になったね。","That restaurant went downhill.","レストラン・食べ物 / 諺・おもしろ表現","過去のこと","「質が落ちる」「下り坂になる」は英語で：
・go downhill
という句動詞です。
「昔は良かったのに…」って言いたくなったとき、絶対使ってみましょう！
たとえば
That restaurant really went downhill.
（あのレストラン、ほんとに下り坂になったね）
The company went downhill after the new CEO took over.
（新しい社長が来てから会社が下り坂になった）
After he got injured, his career started to go downhill.
（怪我してから彼のキャリアが下り坂になった）
His fashion has gone downhill since he got married.
（結婚してからファッションセンスが下り坂だよ）（笑）"
"そこはギラギラした男が多い。","There are lots of sleazy guys there.","性格 / 恋愛","形容詞","「ギラギラしている」は英語で：
・sleazy
という形容詞です。
なんか下心丸出しで信用できない感じです。
・性的なニュアンスの「ギラギラした」という感じで使うことが多いけど、
・それ以外の「いかがわしい」「怪しい」という使い方もあります。
たとえば
I’m sick of sleazy guys hitting on me.
（ギラギラした男にナンパされるのにもうウンザリ）
That bar looks a bit sleazy.
（あのバー、なんか怪しい雰囲気だね）
This area gets pretty sleazy at night.
（この辺、夜になるとかなりいかがわしい感じになるよ）
He’s a sleazy politician who takes bribes.
（彼は賄賂をもらう、いかがわしい政治家だ）
Stay away from that sleazy salesman – he’s going to rip you off.
（あの胡散臭いセールスマンには近づかない方がいい、絶対ぼったくるから）"
"どんどん上達しているね。","You’re getting better and better!","スポーツ / 仕事","形容詞","「どんどん上達している」は英語で：
・getting better and better.
と言います。
❶ 「なりつつある」「なってきた」」は「be getting」。
たとえば
I’m getting hungry.
（お腹が空いてきた）
The days are getting longer.
（日が長くなってきたね）
You're getting better.
（上達してきたね）
❷「どんどんなってきている」は：
・形容詞の比較級 and 形容詞の比較級
を使います。
たとえば
It’s getting worse and worse.
（どんどん悪化している）
You're getting taller and taller.
（どんどん背が伸びてきたね）
AI videos are getting better and better.
（AI動画がどんどんすごくなっている）
＊「more」がつくタイプの比較級は：
「more beautiful and more beautiful」だとくどいので
「more and more beautiful」と言います。
たとえば
Land is getting more and more expensive.
（土地がどんどん高くなっている）
The lessons are getting more and more interesting.
（レッスンはどんどん面白くなっている）"
"自分がういている感じがした。","I felt out of place.","五感","形容詞","❶　「その場に合わない」「ういている」は英語で：
・out of place
と言います。
人にも物にも使えます。
たとえば、
That chair is out of place.
（その椅子は部屋に合わない）
He looks out of place.
（彼はういているね）
❷　「自分がういている感じがする」は：
・feel out of place
と言います。
たとえば
I felt out of place at the party.
（パーティーで自分だけういている感じがした）
I always feel out of place in fancy restaurants.
（高級レストランはいつも場違いな気分になる）
Everyone knew each other except me, so I felt out of place.
（私以外はみんな知り合い同士だったから、なんかういてる気がした）"
"どれだけ凄いか考えてみて。","Let that sink in.","キメの一言","","よく耳にする英語 “Let that sink in.” を直訳すると：
・「それが沈むのを許して」ですけど、
実際の意味は：
・この話の凄さをよく考えてみて
・この事実の重みを感じてみて
というニュアンスです。
何かすごい話を言った後に使います。
日本語で言うと：
「どれだけ凄いか考えてごらん」
「すごくないですか？」
「考えれば考えるほどすごいよね」
のような感じです。
たとえば
They spent 10 years building that company, and it was gone in a day.
Let that sink in.
（10年かけて作った会社が、たった1日でなくなったんだよ。すごくないですか？）
He makes 1 million dollars a month. Let that sink in.
（彼、月に100万ドル稼いでるんだよ。どれだけのもんなのか想像してみて）
You’ll spend one third of your life sleeping. Let that sink in.
（人生の3分の1は寝てるんだよ。考えれば考えるほどすごいよね）"
